#AUDIOSCROBBLER/1.1
#TZ/UNKNOWN
#CLIENT/Rockbox ipodvideo $Revision$
Stina Nordenstam	The World Is Saved	I'm Staring Out The World	5	218	L	946812501	
Stina Nordenstam	The World Is Saved	From Cayman Islands With Love	6	240	S	946812720	
Oneohtrix Point Never	Replica	Andro	1	235	L	946812794	
Oneohtrix Point Never	Replica	Sleep Dealer	2	190	L	946813031	
Oneohtrix Point Never	Replica	Power of Persuasion	3	209	L	946813221	
Oneohtrix Point Never	Replica	Remember	4	199	L	946813431	
Oneohtrix Point Never	Replica	Replica	5	276	L	946813630	
Oneohtrix Point Never	Replica	Nassau	6	282	L	946813907	
Oneohtrix Point Never	Replica	Submersible	7	229	L	946814189	
Oneohtrix Point Never	Replica	Up	8	237	L	946814771	
Oneohtrix Point Never	Replica	Child Soldier	9	194	L	946815008	
Oneohtrix Point Never	Replica	Explain	10	405	S	946815202	
Mall Grab	Elegy	Awake	1	338	L	946815607	
Mall Grab	Elegy	Never	2	357	L	946815946	
Mall Grab	Elegy	Elegy	3	365	S	946816303	
Mall Grab	Elegy	Elegy	3	365	L	946818035	
Mall Grab	Elegy	Drive	4	404	L	946818381	
Village People	We Want You (Greatest Hits)	In the Navy		223	S	946818817	
Village People	We Want You (Greatest Hits)	In the Navy		223	S	946818825	
John Dimas	Resident Advisor podcast	RA.618 John Dimas - 2018.04.02	618	4984	S	946818827	
John Dimas	Resident Advisor podcast	RA.618 John Dimas - 2018.04.02	618	4984	S	946833819	
U.S. Girls	In a Poem Unlimited	Velvet 4 Sale	1	224	L	946836044	
U.S. Girls	In a Poem Unlimited	Rage of Plastics	2	267	L	946836358	
U.S. Girls	In a Poem Unlimited	M.A.H.	3	174	L	946836626	
U.S. Girls	In a Poem Unlimited	Why Do I Lose My Voice When I Have SomethingTo Say?	4	25	L	946836800	
U.S. Girls	In a Poem Unlimited	Rosebud	5	189	L	946836826	
U.S. Girls	In a Poem Unlimited	Incidental Boogie	6	203	L	946837016	
U.S. Girls	In a Poem Unlimited	L-Over	7	245	L	946837219	
U.S. Girls	In a Poem Unlimited	Pearly Gates	8	242	L	946837465	
U.S. Girls	In a Poem Unlimited	Poem	9	210	L	946837707	
U.S. Girls	In a Poem Unlimited	Traviata	10	12	L	946837918	
U.S. Girls	In a Poem Unlimited	Time	11	468	L	946837930	
U.S. Girls	In a Poem Unlimited	Time	11	468	L	946844342	
King Crimson	In the Court of the Crimson King	21st Century Schizoid  Man	1	443	L	946844370	
King Crimson	In the Court of the Crimson King	I Talk to the Wind	2	363	L	946844814	
King Crimson	In the Court of the Crimson King	Epitaph	3	528	L	946845178	
King Crimson	In the Court of the Crimson King	Moonchild	4	732	S	946845707	
Boris	Amplifier Worship	Huge	1	542	S	946845728	
Boris	Amplifier Worship	Hama	3	415	S	946845844	
Boris	Amplifier Worship	Kuruimizu	4	853	S	946845844	
Boris	Amplifier Worship	Kuruimizu	4	853	S	946845844	
Boris	Amplifier Worship	Huge	1	542	S	946845927	
Boris	Amplifier Worship	Kuruimizu	4	853	L	946845931	
Dopplereffekt	Kern Vol. 4	Scientist	1	229	L	946846681	
Alex Cortex	Kern Vol. 4	We Run Your Life	2	132	L	946846915	
Kris Wadsworth	Kern Vol. 4	Infiltrator	3	156	L	946847047	
Christopher Joseph	Kern Vol. 4	Mind At Sea	4	161	L	946847203	
Silent Servant	Kern Vol. 4	Dissociation	5	162	L	946847365	
Adam Jay	Kern Vol. 4	Lexic	6	169	L	946847527	
Herva	Kern Vol. 4	Slam The Laptop	7	123	L	946847697	
Gesloten Cirkel	Kern Vol. 4	Submit X	8	131	L	946847820	
Professor X	Kern Vol. 4	Professor X (Saga)	9	154	L	946847966	
NRSB-11	Kern Vol. 4	Nationalised	10	109	L	946848123	
Lil Pump, Smokepurpp	Lil Pump	What U Sayin' (feat. Smokepurpp)	1	140	S	946849758	
Lil Pump	Lil Pump	Gucci Gang	2	124	L	946849763	
Lil Pump, Smokepurpp	Lil Pump	Smoke My Dope (feat. Smokepurpp)	3	135	L	946849887	
Marvin Gaye	Grand Theft Auto: Vice City Stories Soundtrack Vol.6 - VCFL	Sexual Healing	1	239	L	946850015	
Frank Ocean	Endless	Device Control (Intro)	1	23	L	946850998	
Frank Ocean	Endless	At Your Best (You Are Love) [ft. James Blake, Jonny Greenwood & the London Contemporary Orchestra]	2	320	S	946851024	
Frank Ocean	Endless	At Your Best (You Are Love) [ft. James Blake, Jonny Greenwood & the London Contemporary Orchestra]	2	320	S	946851783	
Frank Ocean	Endless	Device Control (Intro)	1	23	L	946851785	
Frank Ocean	Endless	At Your Best (You Are Love) [ft. James Blake, Jonny Greenwood & the London Contemporary Orchestra]	2	320	S	946851812	
Frank Ocean	Endless	Device Control (Intro)	1	23	L	946852161	
Frank Ocean	Endless	At Your Best (You Are Love) [ft. James Blake, Jonny Greenwood & the London Contemporary Orchestra]	2	320	L	946852189	
Frank Ocean	Endless	Alabama (ft. Sampha & Jazmine Sullivan)	3	116	L	946852507	
Frank Ocean	Endless	Mine (ft. Arca)	4	116	L	946852758	
Frank Ocean	Endless	U-N-I-T-Y	5	56	L	946852874	
Frank Ocean	Endless	Ambience 001: In A Certain Way	6	11	L	946852931	
Frank Ocean	Endless	Comme des Garçons (ft. Rita Zebdi)	7	58	L	946852943	
Frank Ocean	Endless	Ambience 002: Honeybaby	8	40	L	946853001	
Frank Ocean	Endless	Wither (ft. Alex G & Jazime Sullivan)	9	153	L	946853042	
Frank Ocean	Endless	Hublots (ft. Jazmine Sullivan)	10	17	L	946853195	
Frank Ocean	Endless	In Here Somewhere	11	195	L	946853213	
Frank Ocean	Endless	Slide On Me (ft. Alex G)	12	188	L	946853812	
Frank Ocean	Endless	Sideways	13	110	L	946854554	
Frank Ocean	Endless	Florida	14	79	L	946854665	
Frank Ocean	Endless	Deathwish (ASR)	15	113	L	946854744	
Frank Ocean	Endless	Rushes (ft. Alex G & Jazime Sullivan)	16	334	L	946854858	
